pd_id,party_all_clf_pdid
pd-101038736049761-1,REP
pd-101041875286397-1,DEM
pd-101042759106279-1,DEM
pd-101044975950512-1,DEM
pd-101046066121392-1,REP
pd-101046139206285-1,DEM
pd-101046159325636-1,DEM
pd-101046159325636-2,DEM
pd-101046684627296-1,REP
pd-101046745921698-1,REP
pd-101054942514649-1,REP
pd-101057932260083-1,DEM
pd-101060268856653-2,DEM
pd-101061959244327-1,REP
pd-101064632508406-1,DEM
pd-101064782514332-1,REP
pd-101065106060316-1,DEM
pd-101065176618548-1,REP
pd-1010664679060500-2,DEM
pd-101068325866906-1,DEM
pd-101069299059820-3,DEM
pd-101069332316184-2,DEM
pd-101069505589-2,REP
pd-1010697675659790-1,DEM
pd-101069828824556-1,DEM
pd-101071872546244-1,DEM
pd-101074059329845-1,DEM
pd-101077622486577-1,DEM
pd-101081204781328-1,DEM
pd-101081236648544-3,DEM
pd-101087095837526-1,DEM
pd-101087209074894-1,REP
pd-101088106003272-1,DEM
pd-101089005893755-1,DEM
pd-101089815987162-1,REP
pd-101092679332637-1,DEM
pd-101096061438859-2,DEM
pd-101096915413172-1,DEM
pd-101101981453511-1,DEM
pd-101103254533-3,DEM
pd-101105062298078-1,DEM
pd-101105282104568-1,DEM
pd-101106401649071-3,DEM
pd-101107088856925-2,DEM
pd-101107692724507-1,DEM
pd-101108816147770-1,REP
pd-101111002623657-1,REP
pd-101111655405022-1,REP
pd-101111655405022-3,DEM
pd-101116938828925-2,DEM
pd-101121629418180-1,REP
pd-101121895519425-1,REP
pd-101121941614539-1,DEM
pd-101123572624672-1,DEM
pd-101125989299119-1,DEM
pd-101127785641985-2,DEM
pd-101129598841978-1,DEM
pd-101131962641279-1,DEM
pd-101133552321471-2,REP
pd-101136147910784-1,DEM
pd-101138408408977-1,DEM
pd-101138408408977-2,DEM
pd-101138408408977-3,DEM
pd-101145015868440-1,DEM
pd-101147562054748-1,DEM
pd-101147766035391-1,DEM
pd-101148509250362-1,OTHER
pd-101148702461194-1,DEM
pd-101149749210567-1,DEM
pd-101150595365234-2,REP
pd-101155531678911-2,DEM
pd-1011605295608680-1,DEM
pd-101160722500204-1,DEM
pd-101161345767932-2,REP
pd-101164855811125-1,DEM
pd-101164855811125-3,DEM
pd-101165912739386-1,DEM
pd-101165966152-1,DEM
pd-101168635742697-1,OTHER
pd-101171672433093-1,DEM
pd-101171792730628-1,DEM
pd-101174221678244-1,REP
pd-101178646000247-1,DEM
pd-101180615825201-1,REP
pd-101181584780300-1,REP
pd-101185685359765-1,DEM
pd-101190504796109-1,REP
pd-101192331236233-1,DEM
pd-101196432638469-1,REP
pd-101197005889458-1,DEM
pd-101199969423327-1,DEM
pd-101203848900144-2,REP
pd-101204378825808-1,DEM
pd-101207052456522-1,REP
pd-101208659000213-2,DEM
pd-101211322683048-1,DEM
pd-101214942102211-1,REP
pd-101216615899198-1,DEM
pd-101218916016310-1,REP
pd-101221408921068-1,REP
pd-101221408921068-2,REP
pd-101221757888833-2,DEM
pd-101224002310757-2,REP
pd-101224502653641-1,REP
pd-101226825958462-2,REP
pd-101230679950794-2,DEM
pd-101231998395850-1,DEM
pd-101232268662699-1,REP
pd-101232268662699-2,DEM
pd-101235345004925-1,REP
pd-101236845086500-2,REP
pd-101237248442750-1,REP
pd-101239962270235-1,REP
pd-101239962270235-2,REP
pd-101240352374938-1,DEM
pd-101240829365358-1,REP
pd-101241172149669-2,REP
pd-101242788363101-1,REP
pd-101247735509419-1,DEM
pd-101251045101558-3,REP
pd-101253871352577-1,DEM
pd-101260782765654-1,DEM
pd-101262285311747-2,DEM
pd-101266389417175-1,REP
pd-101267255959796-1,REP
pd-1012679305536045-3,DEM
pd-101268598768560-2,REP
pd-101270459414014-1,DEM
pd-101271495688287-1,REP
pd-101273989355582-1,DEM
pd-101274706017941-2,DEM
pd-101275422471430-1,REP
pd-101275422471430-2,DEM
pd-101278881655530-1,DEM
pd-101280869188833-1,DEM
pd-1012844478903955-2,DEM
pd-101285033290986-2,DEM
pd-101285775444692-1,DEM
pd-101287185823724-1,DEM
pd-101287734752974-2,DEM
pd-101287734752974-3,DEM
pd-10128918116-6,REP
pd-10128918116-7,DEM
pd-101291175235213-2,REP
pd-101295525838765-1,REP
pd-101296211450543-1,DEM
pd-101296815544516-1,DEM
pd-101297462600531-1,DEM
pd-101298072506311-1,REP
pd-101301278284850-2,REP
pd-101301694583048-1,REP
pd-101301979187557-1,DEM
pd-101302235804708-1,DEM
pd-101305185887434-2,DEM
pd-101306452664171-1,DEM
pd-101308925134403-3,DEM
pd-101309282635930-1,DEM
pd-101311842601331-1,DEM
pd-101312698628642-2,REP
pd-101316952134613-1,REP
pd-101317296035243-1,REP
pd-101318361267926-1,DEM
pd-101319045645954-1,REP
pd-101319259156750-1,DEM
pd-101321685854192-1,DEM
pd-101322195192409-1,DEM
pd-101323472154178-NA,REP
pd-101325569426722-1,DEM
pd-101329705821379-1,REP
pd-101330332048228-1,REP
pd-101332066006727-1,REP
pd-101333332786018-2,DEM
pd-101334289237093-1,DEM
pd-101335679446929-1,REP
pd-101338754610857-1,REP
pd-1013391422160726-3,DEM
pd-101341775898775-1,DEM
pd-101342419335047-1,DEM
pd-101344661551391-2,REP
pd-101350149302337-1,REP
pd-101351075905689-1,DEM
pd-101352851565699-2,DEM
pd-101352851565699-3,DEM
pd-101352851565699-4,DEM
pd-101353258336091-1,REP
pd-101353637876673-2,REP
pd-101356226002827-1,DEM
pd-101358992721546-1,DEM
pd-101359836099332-1,REP
pd-101361929355946-1,REP
pd-101364602591655-1,REP
pd-101364989314326-1,REP
pd-101364989314326-2,REP
pd-101366834743111-4,REP
pd-101369695938040-1,REP
pd-101371451691247-1,DEM
pd-101372428215698-2,DEM
pd-101374728149342-2,DEM
pd-101374849153254-1,REP
pd-101376486095624-1,REP
pd-101379156022297-1,REP
pd-101379254731717-2,REP
pd-101380274600494-1,REP
pd-101382535241151-1,REP
pd-101387960393283-1,REP
pd-101388895464004-NA,DEM
pd-101390075709928-2,REP
pd-101391906600-1,REP
pd-101392141674882-1,REP
pd-101393552503268-1,DEM
pd-101394415834120-1,REP
pd-101398292759646-1,DEM
pd-101398542143242-2,DEM
pd-1013995391980778-2,DEM
pd-101400032438085-1,REP
pd-101400938016498-3,DEM
pd-101401179944527-3,DEM
pd-101401905331442-3,REP
pd-101403049052985-1,REP
pd-101409089157960-1,DEM
pd-101409899316882-1,DEM
pd-101410252434745-1,REP
pd-101411035671159-1,DEM
pd-101412579352346-1,DEM
pd-101412745816232-1,REP
pd-101414365050095-1,DEM
pd-101416619248992-1,DEM
pd-101421051897848-2,DEM
pd-101423451721775-1,DEM
pd-101427746022826-1,DEM
pd-101428114835671-1,REP
pd-101430889134786-1,REP
pd-101431588985210-1,DEM
pd-101432305578836-1,DEM
pd-101432317199-3,DEM
pd-1014327168722543-1,DEM
pd-101433511404945-1,REP
pd-101434055512783-1,REP
pd-101434655929909-1,DEM
pd-101434679120080-1,REP
pd-101437601951447-1,REP
pd-101438876046293-1,REP
pd-101444749395345-2,REP
pd-101444849335717-1,DEM
pd-101449749369769-1,REP
pd-101449832430514-1,DEM
pd-101450138452716-1,DEM
pd-101450848920980-1,REP
pd-101450968245869-2,DEM
pd-101452012744722-1,OTHER
pd-101453399013859-1,DEM
pd-101455082463577-1,DEM
pd-101459351485507-1,REP
pd-101461346061116-1,REP
pd-101462165849556-1,REP
pd-101465199025478-1,REP
pd-101465199025478-4,REP
pd-101465662675624-1,REP
pd-101467644745982-2,REP
pd-101469589142978-1,DEM
pd-101470112706344-2,DEM
pd-101471035744662-1,DEM
pd-101474327926516-1,REP
pd-101481584557260-2,DEM
pd-101484658669620-1,DEM
pd-101487945965706-1,DEM
pd-101488912614464-1,DEM
pd-101492836059872-1,DEM
pd-101494125917494-1,REP
pd-1014946948569205-2,DEM
pd-101495782090286-1,DEM
pd-101497941620428-1,DEM
pd-101499411679774-2,DEM
pd-101500764797503-2,REP
pd-10150117105250068-1,REP
